Month,Week Of,Month,Mon,Tue,Wed,Thu,Fri
1997 Jan,1997 Jan- 6 to Jan-10,1997 Jan,,3.82,3.8,3.61,3.92
1997 Jan,1997 Jan-13 to Jan-17,1997 Jan,4,4.01,4.34,4.71,3.91
1997 Jan,1997 Jan-20 to Jan-24,1997 Jan,3.26,2.99,3.05,2.96,2.62
1997 Jan,1997 Jan-27 to Jan-31,1997 Jan,2.98,3.05,2.91,2.86,2.77
1997 Feb,1997 Feb- 3 to Feb- 7,1997 Feb,2.49,2.59,2.65,2.51,2.39
1997 Feb,1997 Feb-10 to Feb-14,1997 Feb,2.42,2.34,2.42,2.22,2.12
1997 Feb,1997 Feb-17 to Feb-21,1997 Feb,,1.84,1.95,1.92,1.92
1997 Feb,1997 Feb-24 to Feb-28,1997 Feb,1.92,1.77,1.81,1.8,1.78
1997 Mar,1997 Mar- 3 to Mar- 7,1997 Mar,1.8,1.87,1.92,1.82,1.89
1997 Mar,1997 Mar-10 to Mar-14,1997 Mar,1.95,1.92,1.96,1.98,1.97
1997 Mar,1997 Mar-17 to Mar-21,1997 Mar,2.01,1.91,1.88,1.88,1.87
1997 Mar,1997 Mar-24 to Mar-28,1997 Mar,1.8,1.85,1.85,1.84,
1997 Mar,1997 Mar-31 to Apr- 4,1997 Mar,1.84,1.95,1.85,1.87,1.91
1997 Apr,1997 Apr- 7 to Apr-11,1997 Apr,1.99,2.01,1.96,1.97,1.98
1997 Apr,1997 Apr-14 to Apr-18,1997 Apr,2,2,2.02,2.08,2.1
1997 Apr,1997 Apr-21 to Apr-25,1997 Apr,2.09,2.1,2.22,2.11,2.16
1997 Apr,1997 Apr-28 to May- 2,1997 Apr,2.1,2.09,2.16,2.19,2.21
1997 May,1997 May- 5 to May- 9,1997 May,2.23,2.25,2.34,2.33,2.3
1997 May,1997 May-12 to May-16,1997 May,2.27,2.18,2.22,2.25,2.19
1997 May,1997 May-19 to May-23,1997 May,2.25,2.22,2.21,2.22,2.2
1997 May,1997 May-26 to May-30,1997 May,,2.29,2.34,2.29,2.23
1997 Jun,1997 Jun- 2 to Jun- 6,1997 Jun,2.2,2.11,2.19,2.18,2.19
1997 Jun,1997 Jun- 9 to Jun-13,1997 Jun,2.19,2.16,2.16,2.14,2.15
1997 Jun,1997 Jun-16 to Jun-20,1997 Jun,2.2,2.2,2.22,2.23,2.25
1997 Jun,1997 Jun-23 to Jun-27,1997 Jun,2.29,2.32,2.32,2.23,2.17
1997 Jun,1997 Jun-30 to Jul- 4,1997 Jun,2.17,2.16,2.14,2.11,
1997 Jul,1997 Jul- 7 to Jul-11,1997 Jul,2.13,2.13,2.16,2.15,2.16
1997 Jul,1997 Jul-14 to Jul-18,1997 Jul,2.18,2.21,2.24,2.29,2.26
1997 Jul,1997 Jul-21 to Jul-25,1997 Jul,2.17,2.18,2.2,2.24,2.22
1997 Jul,1997 Jul-28 to Aug- 1,1997 Jul,2.19,2.23,2.19,2.23,2.24
1997 Aug,1997 Aug- 4 to Aug- 8,1997 Aug,2.26,2.33,2.38,2.5,2.38
1997 Aug,1997 Aug-11 to Aug-15,1997 Aug,2.53,2.56,2.45,2.57,2.53
1997 Aug,1997 Aug-18 to Aug-22,1997 Aug,2.56,2.61,2.62,2.45,2.47
1997 Aug,1997 Aug-25 to Aug-29,1997 Aug,2.53,2.58,2.51,2.57,2.69
1997 Sep,1997 Sep- 1 to Sep- 5,1997 Sep,,2.82,2.86,2.73,2.67
1997 Sep,1997 Sep- 8 to Sep-12,1997 Sep,2.67,2.74,2.74,2.78,2.86
