Monthly,Day,First date of the month,,,,,,Price
1997 Jan,1997 Jan- 6 to Jan-10,1997 Jan- 6 ,,3.82,3.8,3.61,3.92,3.82
1997 Feb,1997 Feb- 3 to Feb- 7,1997 Feb- 3 ,2.49,2.59,2.65,2.51,2.39,2.49
1997 Mar,1997 Mar- 3 to Mar- 7,1997 Mar- 3 ,1.8,1.87,1.92,1.82,1.89,1.8
1997 Apr,1997 Apr- 7 to Apr-11,1997 Apr- 7 ,1.99,2.01,1.96,1.97,1.98,1.99
1997 May,1997 May- 5 to May- 9,1997 May- 5 ,2.23,2.25,2.34,2.33,2.3,2.23
1997 Jun,1997 Jun- 2 to Jun- 6,1997 Jun- 2 ,2.2,2.11,2.19,2.18,2.19,2.2
1997 Jul,1997 Jul- 7 to Jul-11,1997 Jul- 7 ,2.13,2.13,2.16,2.15,2.16,2.13
1997 Aug,1997 Aug- 4 to Aug- 8,1997 Aug- 4 ,2.26,2.33,2.38,2.5,2.38,2.26
1997 Sep,1997 Sep- 1 to Sep- 5,1997 Sep- 1 ,,2.82,2.86,2.73,2.67,2.82
1997 Oct,1997 Oct- 6 to Oct-10,1997 Oct- 6 ,2.96,2.81,2.8,2.8,2.78,2.96
1997 Nov,1997 Nov- 3 to Nov- 7,1997 Nov- 3 ,3.23,3.15,3.18,3.2,3.05,3.23
1997 Dec,1997 Dec- 1 to Dec- 5,1997 Dec- 1 ,2.52,2.61,2.53,2.48,2.42,2.52
1998 Jan,1998 Jan- 5 to Jan- 9,1998 Jan- 5 ,2.05,2.16,2.13,2.11,2.09,2.05
1998 Feb,1998 Feb- 2 to Feb- 6,1998 Feb- 2 ,2.23,2.27,2.23,2.31,2.35,2.23
1998 Mar,1998 Mar- 2 to Mar- 6,1998 Mar- 2 ,2.26,2.24,2.19,2.12,2.1,2.26
1998 Apr,1998 Apr- 6 to Apr-10,1998 Apr- 6 ,2.51,2.51,2.65,2.61,,2.51
1998 May,1998 May- 4 to May- 8,1998 May- 4 ,2.1,2.19,2.12,2.16,2.11,2.1
1998 Jun,1998 Jun- 1 to Jun- 5,1998 Jun- 1 ,2.1,2.2,2.13,2.04,2.01,2.1
1998 Jul,1998 Jul- 6 to Jul-10,1998 Jul- 6 ,2.38,2.35,2.39,2.38,2.32,2.38
1998 Aug,1998 Aug- 3 to Aug- 7,1998 Aug- 3 ,1.84,1.9,1.91,1.85,1.82,1.84
1998 Sep,1998 Sep- 7 to Sep-11,1998 Sep- 7 ,,1.81,1.78,1.88,1.86,1.81
1998 Oct,1998 Oct- 5 to Oct- 9,1998 Oct- 5 ,2.09,2.01,2.05,2.02,1.8,2.09
1998 Nov,1998 Nov- 2 to Nov- 6,1998 Nov- 2 ,1.84,2.1,2.11,2.26,2.25,1.84
1998 Dec,1998 Dec- 7 to Dec-11,1998 Dec- 7 ,1.44,1.79,1.64,1.59,1.55,1.44
1999 Jan,1999 Jan- 4 to Jan- 8,1999 Jan- 4 ,2.1,2.05,2.04,1.91,1.9,2.1
1999 Feb,1999 Feb- 1 to Feb- 5,1999 Feb- 1 ,1.75,1.78,1.8,1.79,1.81,1.75
1999 Mar,1999 Mar- 1 to Mar- 5,1999 Mar- 1 ,1.65,1.67,1.68,1.72,1.74,1.65
1999 Apr,1999 Apr- 5 to Apr- 9,1999 Apr- 5 ,2.03,1.98,2.03,2.07,2.1,2.03
1999 May,1999 May- 3 to May- 7,1999 May- 3 ,2.23,2.32,2.36,2.32,2.25,2.23
1999 Jun,1999 Jun- 7 to Jun-11,1999 Jun- 7 ,2.41,2.38,2.39,2.37,2.3,2.41
1999 Jul,1999 Jul- 5 to Jul- 9,1999 Jul- 5 ,,2.29,2.2,2.19,2.17,2.29
1999 Aug,1999 Aug- 2 to Aug- 6,1999 Aug- 2 ,2.51,2.61,2.64,2.69,2.69,2.51
1999 Sep,1999 Sep- 6 to Sep-10,1999 Sep- 6 ,,2.56,2.66,2.75,2.84,2.56
1999 Oct,1999 Oct- 4 to Oct- 8,1999 Oct- 4 ,2.49,2.45,2.48,2.49,2.35,2.49
1999 Nov,1999 Nov- 1 to Nov- 5,1999 Nov- 1 ,2.73,2.81,2.82,2.75,2.62,2.73
1999 Dec,1999 Dec- 6 to Dec-10,1999 Dec- 6 ,2.19,2.16,2.23,2.2,2.27,2.19
2000 Jan,2000 Jan- 3 to Jan- 7,2000 Jan- 3 ,,2.16,2.17,2.18,2.19,2.16
2000 Feb,2000 Feb- 7 to Feb-11,2000 Feb- 7 ,2.81,2.6,2.62,2.65,2.65,2.81
2000 Mar,2000 Mar- 6 to Mar-10,2000 Mar- 6 ,2.76,2.78,2.74,2.69,,2.76
2000 Apr,2000 Apr- 3 to Apr- 7,2000 Apr- 3 ,2.92,2.87,2.86,2.98,2.99,2.92
2000 May,2000 May- 1 to May- 5,2000 May- 1 ,3.16,3.2,3.18,3.09,3.11,3.16
2000 Jun,2000 Jun- 5 to Jun- 9,2000 Jun- 5 ,4.17,4.48,4.23,3.96,4.14,4.17
2000 Jul,2000 Jul- 3 to Jul- 7,2000 Jul- 3 ,4.36,,4.24,4.02,4,4.36
2000 Aug,2000 Aug- 7 to Aug-11,2000 Aug- 7 ,4.39,4.46,4.48,4.43,4.44,4.39
2000 Sep,2000 Sep- 4 to Sep- 8,2000 Sep- 4 ,,4.81,4.89,4.85,4.74,4.81
2000 Oct,2000 Oct- 2 to Oct- 6,2000 Oct- 2 ,5.24,5.29,5.22,5.21,5.04,5.24
2000 Nov,2000 Nov- 6 to Nov-10,2000 Nov- 6 ,4.6,4.68,4.92,5.34,5.24,4.6
2000 Dec,2000 Dec- 4 to Dec- 8,2000 Dec- 4 ,7.41,8.03,8.75,8.48,8.13,7.41
2001 Jan,2001 Jan- 1 to Jan- 5,2001 Jan- 1 ,,9.97,9.71,9.45,10.03,9.97
2001 Feb,2001 Feb- 5 to Feb- 9,2001 Feb- 5 ,6.15,5.59,5.67,6.24,6.24,6.15
2001 Mar,2001 Mar- 5 to Mar- 9,2001 Mar- 5 ,5.32,5.27,5.22,5.25,5.13,5.32
2001 Apr,2001 Apr- 2 to Apr- 6,2001 Apr- 2 ,5.25,5.25,5.24,5.27,5.33,5.25
2001 May,2001 May- 7 to May-11,2001 May- 7 ,4.33,4.22,4.15,4.17,4.25,4.33
2001 Jun,2001 Jun- 4 to Jun- 8,2001 Jun- 4 ,3.98,3.93,3.76,3.68,3.62,3.98
2001 Jul,2001 Jul- 2 to Jul- 6,2001 Jul- 2 ,2.92,3,,3.09,2.99,2.92
2001 Aug,2001 Aug- 6 to Aug-10,2001 Aug- 6 ,3.07,3.16,3.11,3.1,2.99,3.07
2001 Sep,2001 Sep- 3 to Sep- 7,2001 Sep- 3 ,,2.23,2.34,2.43,2.36,2.23
2001 Oct,2001 Oct- 1 to Oct- 5,2001 Oct- 1 ,1.74,1.83,1.97,2.13,2.11,1.74
2001 Nov,2001 Nov- 5 to Nov- 9,2001 Nov- 5 ,2.87,2.72,2.73,2.68,2.61,2.87
2001 Dec,2001 Dec- 3 to Dec- 7,2001 Dec- 3 ,2.1,2,1.89,1.81,2.11,2.1
2002 Jan,2002 Jan- 7 to Jan-11,2002 Jan- 7 ,2.58,2.39,2.31,2.32,2.32,2.58
